1	229.9439
1.1	229.4906
1.2	229.0373
1.3	228.584
1.4	228.1307
1.5	227.6774
1.6	227.2241
1.7	226.7709
1.8	226.3176
1.9	225.8643
2	225.411
2.1	224.183
2.2	222.955
2.3	221.727
2.4	220.499
2.5	219.2711
2.6	218.0431
2.7	216.8151
2.8	215.5871
2.9	214.3591
3	213.1311
3.1	211.5431
3.2	209.955
3.3	208.367
3.4	206.7789
3.5	205.1909
3.6	203.6028
3.7	202.0148
3.8	200.4267
3.9	198.8387
4	197.2507
4.1	195.6411
4.2	194.0314
4.3	192.4218
4.4	190.8122
4.5	189.2026
4.6	187.593
4.7	185.9834
4.8	184.3738
4.9	182.7642
5	181.1546
5.1	178.0653
5.2	174.976
5.3	171.8866
5.4	168.7973
5.5	165.708
5.6	162.6186
5.7	159.5293
5.8	156.44
5.9	153.3506
6	150.2613
6.1	147.0014
6.2	143.7414
6.3	140.4815
6.4	137.2216
6.5	133.9617
6.6	130.7017
6.7	127.4418
6.8	124.1819
6.9	120.922
7	117.662
7.1	116.1006
7.2	114.5392
7.3	112.9778
7.4	111.4163
7.5	109.8549
7.6	108.2935
7.7	106.7321
7.8	105.1706
7.9	103.6092
8	102.0478
8.1	100.6667
8.2	99.2856
8.3	97.9045
8.4	96.5235
8.5	95.1424
8.6	93.7613
8.7	92.3802
8.8	90.9992
8.9	89.6181
9	88.237
9.1	87.2661
9.2	86.2951
9.3	85.3242
9.4	84.3533
9.5	83.3824
9.6	82.4114
9.7	81.4405
9.8	80.4696
9.9	79.4987
10	78.5277
10.1	77.7457
10.2	76.9636
10.3	76.1815
10.4	75.3994
10.5	74.6174
10.6	73.8353
10.7	73.0532
10.8	72.2711
10.9	71.4891
11	70.707
11.1	70.4855
11.2	70.264
11.3	70.0425
11.4	69.821
11.5	69.5996
11.6	69.3781
11.7	69.1566
11.8	68.9351
11.9	68.7136
12	68.4921
12.1	68.3788
12.2	68.2655
12.3	68.1523
12.4	68.039
12.5	67.9257
12.6	67.8124
12.7	67.6991
12.8	67.5858
12.9	67.4725
13	67.3593
13.1	67.083
13.2	66.8066
13.3	66.5303
13.4	66.254
13.5	65.9777
13.6	65.7014
13.7	65.4251
13.8	65.1488
13.9	64.8725
14	64.5962
14.1	64.3479
14.2	64.0997
14.3	63.8514
14.4	63.6031
14.5	63.3548
14.6	63.1065
14.7	62.8582
14.8	62.61
14.9	62.3617
15	62.1134
15.1	61.7643
15.2	61.4153
15.3	61.0662
15.4	60.7171
15.5	60.368
15.6	60.019
15.7	59.6699
15.8	59.3208
15.9	58.9718
16	58.6227
16.1	58.2253
16.2	57.828
16.3	57.4306
16.4	57.0333
16.5	56.6359
16.6	56.2386
16.7	55.8412
16.8	55.4439
16.9	55.0465
17	54.6492
17.1	54.137
17.2	53.6247
17.3	53.1125
17.4	52.6003
17.5	52.0881
17.6	51.5759
17.7	51.0637
17.8	50.5515
17.9	50.0392
18	49.527
18.1	48.9706
18.2	48.4142
18.3	47.8578
18.4	47.3014
18.5	46.7451
18.6	46.1887
18.7	45.6323
18.8	45.0759
18.9	44.5195
19	43.9631
19.1	43.5341
19.2	43.1052
19.3	42.6762
19.4	42.2473
19.5	41.8183
19.6	41.3894
19.7	40.9604
19.8	40.5315
19.9	40.1025
20	39.6736
20.1	39.1345
20.2	38.5955
20.3	38.0564
20.4	37.5174
20.5	36.9783
20.6	36.4393
20.7	35.9003
20.8	35.3612
20.9	34.8222
21	34.2831
