0.1067961165	0.284789644	0.6084142395
0.138028169	0.3070422535	0.5549295775
0.1385041551	0.3434903047	0.5180055402
0.2066115702	0.3526170799	0.4407713499
0.2269129288	0.3773087071	0.3957783641
0.2678132678	0.3587223587	0.3734643735
0.2770448549	0.3693931398	0.3535620053
0.3007712082	0.4061696658	0.293059126
0.3297587131	0.4450402145	0.2252010724
0.3521126761	0.4901408451	0.1577464789
0.3725	0.455	0.1725
0.3474178404	0.4272300469	0.2253521127
0.3503184713	0.3991507431	0.2505307856
0.3671706263	0.3974082073	0.2354211663
0.3853006682	0.4031180401	0.2115812918
0.3835616438	0.3858447489	0.2305936073
0.4094117647	0.3741176471	0.2164705882
0.4241706161	0.3791469194	0.1966824645
0.4593175853	0.3622047244	0.1784776903
0.598540146	0.3832116788	0.0182481752
0.6652892562	0.3181818182	0.0165289256
